,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2001-04-07,Columbus Crew,Chicago Fire,0,1,1,,2001
1,Regular Season,2001-04-07,MetroStars,New England,0,2,1,MetroStars,2001
2,Regular Season,2001-04-07,Miami Fusion,Colorado Rapids,0,2,1,Miami Fusion,2001
3,Regular Season,2001-04-07,Dallas Burn,Tampa Bay,0,2,4,Tampa Bay,2001
4,Regular Season,2001-04-07,D.C. United,KC Wizards,0,3,2,D.C. United,2001
5,Regular Season,2001-04-07,LA Galaxy,San Jose,0,2,3,San Jose,2001
6,Regular Season,2001-04-14,KC Wizards,LA Galaxy,0,2,1,KC Wizards,2001
7,Regular Season,2001-04-14,Chicago Fire,D.C. United,0,2,0,Chicago Fire,2001
8,Regular Season,2001-04-14,Tampa Bay,Columbus Crew,0,1,2,Columbus Crew,2001
9,Regular Season,2001-04-14,San Jose,Dallas Burn,0,0,1,Dallas Burn,2001
10,Regular Season,2001-04-14,Colorado Rapids,MetroStars,0,1,1,,2001
11,Regular Season,2001-04-14,New England,Miami Fusion,0,0,1,Miami Fusion,2001
12,Regular Season,2001-04-18,KC Wizards,Miami Fusion,0,2,1,KC Wizards,2001
13,Regular Season,2001-04-21,Dallas Burn,Chicago Fire,0,3,2,Dallas Burn,2001
14,Regular Season,2001-04-21,MetroStars,Tampa Bay,0,1,3,Tampa Bay,2001
15,Regular Season,2001-04-21,D.C. United,New England,0,2,1,D.C. United,2001
16,Regular Season,2001-04-21,LA Galaxy,Colorado Rapids,0,1,0,LA Galaxy,2001
17,Regular Season,2001-04-21,Columbus Crew,KC Wizards,0,0,3,KC Wizards,2001
18,Regular Season,2001-04-21,Miami Fusion,San Jose,0,2,1,Miami Fusion,2001
19,Regular Season,2001-04-28,KC Wizards,San Jose,0,0,0,,2001
20,Regular Season,2001-04-28,Miami Fusion,New England,0,1,0,Miami Fusion,2001
21,Regular Season,2001-04-28,MetroStars,Dallas Burn,0,3,2,MetroStars,2001
22,Regular Season,2001-04-28,Tampa Bay,Chicago Fire,0,0,1,Chicago Fire,2001
23,Regular Season,2001-04-28,Colorado Rapids,LA Galaxy,0,2,3,LA Galaxy,2001
25,Regular Season,2001-05-02,MetroStars,KC Wizards,0,4,1,MetroStars,2001
26,Regular Season,2001-05-05,Dallas Burn,Colorado Rapids,0,0,1,Colorado Rapids,2001
27,Regular Season,2001-05-05,MetroStars,D.C. United,0,3,2,MetroStars,2001
28,Regular Season,2001-05-05,San Jose,New England,0,3,2,San Jose,2001
29,Regular Season,2001-05-05,Chicago Fire,Tampa Bay,0,2,0,Chicago Fire,2001
30,Regular Season,2001-05-05,Columbus Crew,Miami Fusion,0,0,0,,2001
31,Regular Season,2001-05-05,LA Galaxy,KC Wizards,0,2,1,LA Galaxy,2001
32,Regular Season,2001-05-09,Tampa Bay,LA Galaxy,0,4,4,,2001
33,Regular Season,2001-05-09,D.C. United,New England,0,5,0,D.C. United,2001
34,Regular Season,2001-05-12,MetroStars,LA Galaxy,0,2,0,MetroStars,2001
35,Regular Season,2001-05-12,Colorado Rapids,Tampa Bay,0,2,1,Colorado Rapids,2001
36,Regular Season,2001-05-12,D.C. United,San Jose,0,2,3,San Jose,2001
37,Regular Season,2001-05-12,New England,Chicago Fire,0,2,1,New England,2001
38,Regular Season,2001-05-12,Dallas Burn,Columbus Crew,0,4,0,Dallas Burn,2001
39,Regular Season,2001-05-16,MetroStars,Colorado Rapids,0,1,0,MetroStars,2001
40,Regular Season,2001-05-16,New England,Columbus Crew,0,2,1,New England,2001
41,Regular Season,2001-05-19,LA Galaxy,Dallas Burn,0,0,0,,2001
42,Regular Season,2001-05-19,Colorado Rapids,New England,0,0,1,New England,2001
43,Regular Season,2001-05-19,San Jose,MetroStars,0,2,0,San Jose,2001
44,Regular Season,2001-05-19,Miami Fusion,Tampa Bay,0,3,1,Miami Fusion,2001
45,Regular Season,2001-05-19,Columbus Crew,D.C. United,0,2,1,Columbus Crew,2001
46,Regular Season,2001-05-19,Chicago Fire,KC Wizards,0,2,0,Chicago Fire,2001
47,Regular Season,2001-05-23,Dallas Burn,San Jose,0,0,2,San Jose,2001
48,Regular Season,2001-05-23,Colorado Rapids,Miami Fusion,0,0,1,Miami Fusion,2001
49,Regular Season,2001-05-24,KC Wizards,MetroStars,0,1,0,KC Wizards,2001
51,Regular Season,2001-05-26,Columbus Crew,Colorado Rapids,0,3,3,,2001
52,Regular Season,2001-05-26,LA Galaxy,New England,0,2,0,LA Galaxy,2001
53,Regular Season,2001-05-26,Tampa Bay,Miami Fusion,0,0,4,Miami Fusion,2001
54,Regular Season,2001-05-26,Chicago Fire,San Jose,0,1,1,,2001
55,Regular Season,2001-05-30,Chicago Fire,LA Galaxy,0,3,4,LA Galaxy,2001
56,Regular Season,2001-05-30,Miami Fusion,D.C. United,0,2,1,Miami Fusion,2001
57,Regular Season,2001-05-30,San Jose,Colorado Rapids,0,1,1,,2001
58,Regular Season,2001-06-02,Columbus Crew,LA Galaxy,0,1,1,,2001
59,Regular Season,2001-06-02,Tampa Bay,KC Wizards,0,1,2,KC Wizards,2001
60,Regular Season,2001-06-02,D.C. United,Chicago Fire,0,1,2,Chicago Fire,2001
61,Regular Season,2001-06-02,Dallas Burn,Miami Fusion,0,2,6,Miami Fusion,2001
62,Regular Season,2001-06-02,Colorado Rapids,San Jose,0,1,2,San Jose,2001
63,Regular Season,2001-06-03,New England,MetroStars,0,1,1,,2001
64,Regular Season,2001-06-06,Tampa Bay,Dallas Burn,0,0,1,Dallas Burn,2001
65,Regular Season,2001-06-09,Miami Fusion,KC Wizards,0,5,1,Miami Fusion,2001
66,Regular Season,2001-06-09,Chicago Fire,Columbus Crew,0,1,0,Chicago Fire,2001
67,Regular Season,2001-06-09,Dallas Burn,D.C. United,0,3,0,Dallas Burn,2001
68,Regular Season,2001-06-09,San Jose,LA Galaxy,0,3,1,San Jose,2001
69,Regular Season,2001-06-09,New England,Tampa Bay,0,3,0,New England,2001
70,Regular Season,2001-06-13,LA Galaxy,KC Wizards,0,4,0,LA Galaxy,2001
71,Regular Season,2001-06-13,D.C. United,MetroStars,0,2,1,D.C. United,2001
72,Regular Season,2001-06-16,Miami Fusion,LA Galaxy,0,3,3,,2001
73,Regular Season,2001-06-16,MetroStars,San Jose,0,0,0,,2001
74,Regular Season,2001-06-16,KC Wizards,D.C. United,0,0,3,D.C. United,2001
75,Regular Season,2001-06-16,Columbus Crew,Tampa Bay,0,6,1,Columbus Crew,2001
77,Regular Season,2001-06-16,Colorado Rapids,Dallas Burn,0,3,6,Dallas Burn,2001
78,Regular Season,2001-06-20,New England,Colorado Rapids,0,3,3,,2001
79,Regular Season,2001-06-23,Chicago Fire,New England,0,1,1,,2001
80,Regular Season,2001-06-23,Dallas Burn,Columbus Crew,0,1,2,Columbus Crew,2001
81,Regular Season,2001-06-23,Tampa Bay,D.C. United,0,3,2,Tampa Bay,2001
82,Regular Season,2001-06-23,San Jose,KC Wizards,0,2,0,San Jose,2001
83,Regular Season,2001-06-23,LA Galaxy,MetroStars,0,2,0,LA Galaxy,2001
84,Regular Season,2001-06-30,Dallas Burn,LA Galaxy,0,0,0,,2001
85,Regular Season,2001-06-30,D.C. United,Colorado Rapids,0,1,1,,2001
86,Regular Season,2001-06-30,Chicago Fire,MetroStars,0,3,1,Chicago Fire,2001
87,Regular Season,2001-06-30,KC Wizards,Tampa Bay,0,3,0,KC Wizards,2001
88,Regular Season,2001-06-30,Miami Fusion,Columbus Crew,0,4,3,Miami Fusion,2001
89,Regular Season,2001-07-04,LA Galaxy,Columbus Crew,0,0,2,Columbus Crew,2001
90,Regular Season,2001-07-04,Dallas Burn,New England,0,1,1,,2001
