,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2015-03-06,LA Galaxy,Chicago Fire,Dignity Health Sports Park,27000,2,0,LA Galaxy,2015
1,Regular Season,2015-03-07,D.C. United,Montreal Impact,Robert F. Kennedy Memorial Stadium,11549,1,0,D.C. United,2015
2,Regular Season,2015-03-07,Philadelphia,Colorado Rapids,Subaru Park,18022,0,0,,2015
3,Regular Season,2015-03-07,Vancouver,Toronto FC,BC Place,21000,1,3,Toronto FC,2015
4,Regular Season,2015-03-07,FC Dallas,San Jose,Toyota Stadium,15236,1,0,FC Dallas,2015
5,Regular Season,2015-03-07,Houston Dynamo,Columbus Crew,BBVA Compass Stadium,22351,1,0,Houston Dynamo,2015
6,Regular Season,2015-03-07,Portland Timbers,Real Salt Lake,Providence Park,21144,0,0,,2015
7,Regular Season,2015-03-08,Orlando City,NYCFC,Camping World Stadium,62510,1,1,,2015
8,Regular Season,2015-03-08,Sporting KC,NY Red Bulls,Children's Mercy Park,19784,1,1,,2015
9,Regular Season,2015-03-08,Seattle,New England,CenturyLink Field,39782,3,0,Seattle,2015
10,Regular Season,2015-03-13,Houston Dynamo,Orlando City,BBVA Compass Stadium,22407,0,1,Orlando City,2015
11,Regular Season,2015-03-14,Chicago Fire,Vancouver,SeatGeek Stadium,15731,0,1,Vancouver,2015
12,Regular Season,2015-03-14,Columbus Crew,Toronto FC,MAPFRE Stadium,15826,2,0,Columbus Crew,2015
13,Regular Season,2015-03-14,FC Dallas,Sporting KC,Toyota Stadium,14149,3,1,FC Dallas,2015
14,Regular Season,2015-03-14,Real Salt Lake,Philadelphia,Rio Tinto Stadium,20281,3,3,,2015
15,Regular Season,2015-03-14,Seattle,San Jose,CenturyLink Field,39175,2,3,San Jose,2015
16,Regular Season,2015-03-15,NYCFC,New England,Yankee Stadium,43507,2,0,NYCFC,2015
17,Regular Season,2015-03-15,Portland Timbers,LA Galaxy,Providence Park,21144,2,2,,2015
18,Regular Season,2015-03-21,New England,Montreal Impact,Gillette Stadium,14189,0,0,,2015
19,Regular Season,2015-03-21,Colorado Rapids,NYCFC,Dick's Sporting Goods Park,17692,0,0,,2015
20,Regular Season,2015-03-21,Philadelphia,FC Dallas,Subaru Park,16031,0,2,FC Dallas,2015
21,Regular Season,2015-03-21,Orlando City,Vancouver,Camping World Stadium,31072,0,1,Vancouver,2015
22,Regular Season,2015-03-21,Sporting KC,Portland Timbers,Children's Mercy Park,20848,0,0,,2015
23,Regular Season,2015-03-21,LA Galaxy,Houston Dynamo,Dignity Health Sports Park,19087,1,1,,2015
25,Regular Season,2015-03-22,NY Red Bulls,D.C. United,Red Bull Arena,21036,2,0,NY Red Bulls,2015
26,Regular Season,2015-03-22,San Jose,Chicago Fire,Avaya Stadium,18000,2,1,San Jose,2015
27,Regular Season,2015-03-28,New England,San Jose,Gillette Stadium,10668,2,1,New England,2015
28,Regular Season,2015-03-28,Montreal Impact,Orlando City,Olympic Stadium,25245,2,2,,2015
29,Regular Season,2015-03-28,D.C. United,LA Galaxy,Robert F. Kennedy Memorial Stadium,14462,1,0,D.C. United,2015
30,Regular Season,2015-03-28,NYCFC,Sporting KC,Yankee Stadium,27454,0,1,Sporting KC,2015
31,Regular Season,2015-03-28,Columbus Crew,NY Red Bulls,MAPFRE Stadium,18333,1,2,NY Red Bulls,2015
32,Regular Season,2015-03-28,Vancouver,Portland Timbers,BC Place,22500,2,1,Vancouver,2015
33,Regular Season,2015-03-28,Houston Dynamo,Colorado Rapids,BBVA Compass Stadium,19603,0,0,,2015
34,Regular Season,2015-03-28,FC Dallas,Seattle,Toyota Stadium,18333,0,0,,2015
35,Regular Season,2015-03-29,Chicago Fire,Philadelphia,SeatGeek Stadium,12815,1,0,Chicago Fire,2015
36,Regular Season,2015-03-29,Real Salt Lake,Toronto FC,Rio Tinto Stadium,19603,2,1,Real Salt Lake,2015
37,Regular Season,2015-04-03,Orlando City,D.C. United,Camping World Stadium,32822,0,1,D.C. United,2015
38,Regular Season,2015-04-04,Chicago Fire,Toronto FC,SeatGeek Stadium,13818,3,2,Chicago Fire,2015
39,Regular Season,2015-04-04,Colorado Rapids,New England,Dick's Sporting Goods Park,11450,0,2,New England,2015
40,Regular Season,2015-04-04,Vancouver,LA Galaxy,BC Place,21000,2,0,Vancouver,2015
41,Regular Season,2015-04-04,Seattle,Houston Dynamo,CenturyLink Field,39860,1,0,Seattle,2015
42,Regular Season,2015-04-04,Portland Timbers,FC Dallas,Providence Park,21144,3,1,Portland Timbers,2015
43,Regular Season,2015-04-05,San Jose,Real Salt Lake,Avaya Stadium,18000,0,1,Real Salt Lake,2015
44,Regular Season,2015-04-05,Sporting KC,Philadelphia,Children's Mercy Park,19545,3,2,Sporting KC,2015
45,Regular Season,2015-04-08,Vancouver,Columbus Crew,BC Place,18083,2,2,,2015
46,Regular Season,2015-04-10,FC Dallas,Colorado Rapids,Toyota Stadium,12929,0,4,Colorado Rapids,2015
47,Regular Season,2015-04-11,New England,Columbus Crew,Gillette Stadium,13092,0,0,,2015
48,Regular Season,2015-04-11,Philadelphia,NYCFC,Subaru Park,18603,2,1,Philadelphia,2015
49,Regular Season,2015-04-11,D.C. United,NY Red Bulls,Robert F. Kennedy Memorial Stadium,16304,2,2,,2015
