,Round,Date,Home,xGH,xGA,Away,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2020-02-29,D.C. United,0.9,2.0,Colorado Rapids,16932,1,2,Colorado Rapids,2020
1,Regular Season,2020-02-29,Montreal Impact,1.4,1.4,New England,21006,2,1,Montreal Impact,2020
2,Regular Season,2020-02-29,Houston Dynamo,0.9,1.3,LA Galaxy,22039,1,1,,2020
3,Regular Season,2020-02-29,San Jose,0.7,1.8,Toronto FC,18000,2,2,,2020
4,Regular Season,2020-02-29,FC Dallas,1.4,0.7,Philadelphia,16219,2,0,FC Dallas,2020
5,Regular Season,2020-02-29,Orlando City,0.7,0.2,Real Salt Lake,25527,0,0,,2020
6,Regular Season,2020-02-29,Nashville,0.5,0.2,Atlanta Utd,59069,1,2,Atlanta Utd,2020
7,Regular Season,2020-02-29,Vancouver,1.8,0.5,Sporting KC,22120,1,3,Sporting KC,2020
8,Regular Season,2020-03-01,Columbus Crew,1.7,0.3,NYCFC,17473,1,0,Columbus Crew,2020
9,Regular Season,2020-03-01,NY Red Bulls,2.1,2.1,FC Cincinnati,15703,3,2,NY Red Bulls,2020
10,Regular Season,2020-03-01,Seattle,4.4,0.5,Chicago Fire,40126,2,1,Seattle,2020
11,Regular Season,2020-03-01,Los Angeles FC,2.1,1.5,Inter Miami,22121,1,0,Los Angeles FC,2020
12,Regular Season,2020-03-01,Portland Timbers,1.8,1.5,Minnesota Utd,25218,1,3,Minnesota Utd,2020
13,Regular Season,2020-03-07,New England,2.2,0.9,Chicago Fire,15289,1,1,,2020
14,Regular Season,2020-03-07,Real Salt Lake,3.1,0.2,NY Red Bulls,18093,1,1,,2020
15,Regular Season,2020-03-07,FC Dallas,1.7,1.3,Montreal Impact,15865,2,2,,2020
16,Regular Season,2020-03-07,D.C. United,1.1,1.4,Inter Miami,17183,2,1,D.C. United,2020
17,Regular Season,2020-03-07,Toronto FC,2.6,0.6,NYCFC,26171,1,0,Toronto FC,2020
18,Regular Season,2020-03-07,Atlanta Utd,1.9,1.4,FC Cincinnati,69301,2,1,Atlanta Utd,2020
19,Regular Season,2020-03-07,San Jose,1.9,2.4,Minnesota Utd,12223,2,5,Minnesota Utd,2020
20,Regular Season,2020-03-07,Sporting KC,2.3,0.8,Houston Dynamo,21188,4,0,Sporting KC,2020
21,Regular Season,2020-03-07,Colorado Rapids,1.0,0.6,Orlando City,13062,2,1,Colorado Rapids,2020
22,Regular Season,2020-03-07,Seattle,2.1,1.3,Columbus Crew,33080,1,1,,2020
23,Regular Season,2020-03-07,LA Galaxy,0.7,1.2,Vancouver,26382,0,1,Vancouver,2020
25,Regular Season,2020-03-08,Portland Timbers,0.3,0.7,Nashville,25518,1,0,Portland Timbers,2020
26,Regular Season,2020-03-08,Los Angeles FC,2.3,1.4,Philadelphia,22112,3,3,,2020
27,Group Stage,2020-07-08,Orlando City,1.6,1.4,Inter Miami,0,2,1,Orlando City,2020
28,Group Stage,2020-07-09,NYCFC,1.6,0.6,Philadelphia,0,0,1,Philadelphia,2020
29,Group Stage,2020-07-09,Montreal Impact,1.1,1.5,New England,0,0,1,New England,2020
30,Group Stage,2020-07-10,Seattle,1.3,1.3,San Jose,0,0,0,,2020
31,Group Stage,2020-07-11,Atlanta Utd,1.3,1.6,NY Red Bulls,0,0,1,NY Red Bulls,2020
32,Group Stage,2020-07-11,FC Cincinnati,0.6,1.3,Columbus Crew,0,0,4,Columbus Crew,2020
33,Group Stage,2020-07-12,Sporting KC,1.5,1.2,Minnesota Utd,0,1,2,Minnesota Utd,2020
34,Group Stage,2020-07-12,Real Salt Lake,2.4,1.2,Colorado Rapids,0,2,0,Real Salt Lake,2020
35,Group Stage,2020-07-13,Toronto FC,2.4,1.2,D.C. United,0,2,2,,2020
36,Group Stage,2020-07-13,Los Angeles FC,2.8,1.3,Houston Dynamo,0,3,3,,2020
37,Group Stage,2020-07-13,LA Galaxy,1.8,1.5,Portland Timbers,0,1,2,Portland Timbers,2020
39,Group Stage,2020-07-14,Chicago Fire,1.0,1.0,Seattle,0,2,1,Chicago Fire,2020
40,Group Stage,2020-07-14,NYCFC,1.9,1.9,Orlando City,0,1,3,Orlando City,2020
41,Group Stage,2020-07-14,Philadelphia,0.7,1.3,Inter Miami,0,2,1,Philadelphia,2020
42,Group Stage,2020-07-15,Vancouver,1.0,2.3,San Jose,0,3,4,San Jose,2020
43,Group Stage,2020-07-16,Atlanta Utd,0.4,1.1,FC Cincinnati,0,0,1,FC Cincinnati,2020
44,Group Stage,2020-07-16,Montreal Impact,2.6,1.8,Toronto FC,0,3,4,Toronto FC,2020
45,Group Stage,2020-07-16,Columbus Crew,1.7,0.4,NY Red Bulls,0,2,0,Columbus Crew,2020
46,Group Stage,2020-07-17,Sporting KC,2.3,0.5,Colorado Rapids,0,3,2,Sporting KC,2020
