,Season,Round,Venue,Date,Home,GHome,GAway,Away,Winner
6848,1996,Regular Season,CEFCU Stadium,1996-04-06,San Jose,1,0,D.C. United,San Jose
6849,1996,Regular Season,Rose Bowl,1996-04-13,LA Galaxy,2,1,MetroStars,LA Galaxy
6850,1996,Regular Season,Houlihan's Stadium,1996-04-13,Tampa Bay,3,2,New England,Tampa Bay
6851,1996,Regular Season,Arrowhead Stadium,1996-04-13,KC Wiz,3,0,Colorado Rapids,KC Wiz
6852,1996,Regular Season,Ohio Stadium,1996-04-13,Columbus Crew,4,0,D.C. United,Columbus Crew
6853,1996,Regular Season,Cotton Bowl,1996-04-14,Dallas Burn,0,0,San Jose,Dallas Burn
6854,1996,Regular Season,Cotton Bowl,1996-04-18,Dallas Burn,3,0,KC Wiz,Dallas Burn
6856,1996,Regular Season,Ohio Stadium,1996-04-20,Columbus Crew,1,2,Tampa Bay,Tampa Bay
6855,1996,Regular Season,Giants Stadium,1996-04-20,MetroStars,0,1,New England,New England
6857,1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-04-20,D.C. United,1,2,LA Galaxy,LA Galaxy
6859,1996,Regular Season,CEFCU Stadium,1996-04-21,San Jose,2,2,KC Wiz,KC Wiz
6858,1996,Regular Season,Mile High Stadium,1996-04-21,Colorado Rapids,3,1,Dallas Burn,Colorado Rapids
6860,1996,Regular Season,Foxboro Stadium,1996-04-27,New England,1,1,D.C. United,New England
6861,1996,Regular Season,Giants Stadium,1996-04-27,MetroStars,0,2,Columbus Crew,Columbus Crew
6862,1996,Regular Season,Houlihan's Stadium,1996-04-28,Tampa Bay,1,2,Dallas Burn,Dallas Burn
6863,1996,Regular Season,Rose Bowl,1996-04-28,LA Galaxy,2,1,San Jose,LA Galaxy
6864,1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-05-01,D.C. United,3,1,Dallas Burn,D.C. United
6865,1996,Regular Season,Arrowhead Stadium,1996-05-02,KC Wiz,6,4,Columbus Crew,KC Wiz
6866,1996,Regular Season,Giants Stadium,1996-05-04,MetroStars,3,3,Tampa Bay,MetroStars
6867,1996,Regular Season,Foxboro Stadium,1996-05-04,New England,1,2,San Jose,San Jose
6868,1996,Regular Season,Cotton Bowl,1996-05-05,Dallas Burn,0,0,Columbus Crew,Dallas Burn
6869,1996,Regular Season,Rose Bowl,1996-05-05,LA Galaxy,3,1,D.C. United,LA Galaxy
